Id|Credits|CreditAmount|CareerId|CourseId|LastModified|Created|Status
25|3.00|10.00|1|25|2018-07-12 23:10:34.164002|2018-07-12 23:10:34.164002|t
26|3.00|10.00|1|26|2018-07-12 23:10:34.164759|2018-07-12 23:10:34.164759|t
27|3.00|10.00|1|27|2018-07-12 23:10:34.165488|2018-07-12 23:10:34.165488|t
28|3.00|10.00|1|28|2018-07-12 23:10:34.166181|2018-07-12 23:10:34.166181|t
29|3.00|10.00|1|29|2018-07-12 23:10:34.166925|2018-07-12 23:10:34.166925|t
30|3.00|10.00|1|30|2018-07-12 23:10:34.167681|2018-07-12 23:10:34.167681|t
31|3.00|10.00|1|31|2018-07-12 23:10:34.168496|2018-07-12 23:10:34.168496|t
32|3.00|10.00|1|32|2018-07-12 23:10:34.169232|2018-07-12 23:10:34.169232|t
33|3.00|10.00|1|33|2018-07-12 23:10:34.169975|2018-07-12 23:10:34.169975|t
34|3.00|10.00|1|34|2018-07-12 23:10:34.170735|2018-07-12 23:10:34.170735|t
35|3.00|10.00|1|35|2018-07-12 23:10:34.171496|2018-07-12 23:10:34.171496|t
36|3.00|10.00|1|36|2018-07-12 23:10:34.172268|2018-07-12 23:10:34.172268|t
37|3.00|10.00|1|37|2018-07-12 23:10:34.173|2018-07-12 23:10:34.173|t
38|3.00|10.00|1|38|2018-07-12 23:10:34.174036|2018-07-12 23:10:34.174036|t
39|3.00|10.00|1|39|2018-07-12 23:10:34.175582|2018-07-12 23:10:34.175582|t
40|3.00|10.00|1|40|2018-07-12 23:10:34.17674|2018-07-12 23:10:34.17674|t
41|3.00|10.00|1|42|2018-07-12 23:10:34.179525|2018-07-12 23:10:34.179525|t
42|3.00|10.00|2|42|2018-07-12 23:10:34.186392|2018-07-12 23:10:34.186392|t
43|3.00|10.00|2|43|2018-07-12 23:10:34.187273|2018-07-12 23:10:34.187273|t
44|3.00|10.00|2|44|2018-07-12 23:10:34.188161|2018-07-12 23:10:34.188161|t
45|3.00|10.00|2|45|2018-07-12 23:10:34.188996|2018-07-12 23:10:34.188996|t
46|3.00|10.00|2|5|2018-07-12 23:10:34.189817|2018-07-12 23:10:34.189817|t
47|3.00|10.00|2|6|2018-07-12 23:10:34.190656|2018-07-12 23:10:34.190656|t
48|3.00|10.00|2|46|2018-07-12 23:10:34.191525|2018-07-12 23:10:34.191525|t
49|3.00|10.00|2|47|2018-07-12 23:10:34.192322|2018-07-12 23:10:34.192322|t
50|3.00|10.00|2|48|2018-07-12 23:10:34.193106|2018-07-12 23:10:34.193106|t
51|3.00|10.00|2|17|2018-07-12 23:10:34.194336|2018-07-12 23:10:34.194336|t
52|3.00|10.00|2|12|2018-07-12 23:10:34.195689|2018-07-12 23:10:34.195689|t
53|3.00|10.00|2|13|2018-07-12 23:10:34.196806|2018-07-12 23:10:34.196806|t
54|3.00|10.00|2|2|2018-07-12 23:10:34.197687|2018-07-12 23:10:34.197687|t
55|3.00|10.00|2|49|2018-07-12 23:10:34.198522|2018-07-12 23:10:34.198522|t
56|3.00|10.00|2|50|2018-07-12 23:10:34.199382|2018-07-12 23:10:34.199382|t
57|3.00|10.00|2|51|2018-07-12 23:10:34.200231|2018-07-12 23:10:34.200231|t
58|3.00|10.00|2|18|2018-07-12 23:10:34.201046|2018-07-12 23:10:34.201046|t
59|3.00|10.00|2|20|2018-07-12 23:10:34.201829|2018-07-12 23:10:34.201829|t
60|3.00|10.00|2|22|2018-07-12 23:10:34.202576|2018-07-12 23:10:34.202576|t
61|3.00|10.00|2|23|2018-07-12 23:10:34.203326|2018-07-12 23:10:34.203326|t
62|3.00|10.00|2|52|2018-07-12 23:10:34.204119|2018-07-12 23:10:34.204119|t
63|3.00|10.00|2|53|2018-07-12 23:10:34.204949|2018-07-12 23:10:34.204949|t
64|3.00|10.00|2|54|2018-07-12 23:10:34.205733|2018-07-12 23:10:34.205733|t
65|3.00|10.00|2|27|2018-07-12 23:10:34.206488|2018-07-12 23:10:34.206488|t
66|3.00|10.00|2|30|2018-07-12 23:10:34.2072|2018-07-12 23:10:34.2072|t
67|3.00|10.00|2|55|2018-07-12 23:10:34.20792|2018-07-12 23:10:34.20792|t
68|3.00|10.00|2|56|2018-07-12 23:10:34.208679|2018-07-12 23:10:34.208679|t
69|3.00|10.00|2|57|2018-07-12 23:10:34.209399|2018-07-12 23:10:34.209399|t
70|3.00|10.00|2|58|2018-07-12 23:10:34.210384|2018-07-12 23:10:34.210384|t
71|3.00|10.00|2|34|2018-07-12 23:10:34.211439|2018-07-12 23:10:34.211439|t
72|3.00|10.00|2|59|2018-07-12 23:10:34.213331|2018-07-12 23:10:34.213331|t
73|3.00|10.00|2|60|2018-07-12 23:10:34.218637|2018-07-12 23:10:34.218637|t
74|3.00|10.00|2|61|2018-07-12 23:10:34.219806|2018-07-12 23:10:34.219806|t
75|3.00|10.00|2|39|2018-07-12 23:10:34.220684|2018-07-12 23:10:34.220684|t
76|3.00|10.00|2|40|2018-07-12 23:10:34.221448|2018-07-12 23:10:34.221448|t
77|3.00|10.00|3|62|2018-07-12 23:10:34.222171|2018-07-12 23:10:34.222171|t
78|3.00|10.00|3|63|2018-07-12 23:10:34.22288|2018-07-12 23:10:34.22288|t
79|3.00|10.00|3|64|2018-07-12 23:10:34.223605|2018-07-12 23:10:34.223605|t
80|3.00|10.00|3|65|2018-07-12 23:10:34.224219|2018-07-12 23:10:34.224219|t
81|3.00|10.00|3|66|2018-07-12 23:10:34.224857|2018-07-12 23:10:34.224857|t
82|3.00|10.00|3|67|2018-07-12 23:10:34.225513|2018-07-12 23:10:34.225513|t
83|3.00|10.00|3|68|2018-07-12 23:10:34.226133|2018-07-12 23:10:34.226133|t
84|3.00|10.00|3|69|2018-07-12 23:10:34.226858|2018-07-12 23:10:34.226858|t
85|3.00|10.00|3|70|2018-07-12 23:10:34.228194|2018-07-12 23:10:34.228194|t
86|3.00|10.00|3|71|2018-07-12 23:10:34.22893|2018-07-12 23:10:34.22893|t
87|3.00|10.00|3|72|2018-07-12 23:10:34.229606|2018-07-12 23:10:34.229606|t
88|3.00|10.00|3|73|2018-07-12 23:10:34.230216|2018-07-12 23:10:34.230216|t
89|3.00|10.00|3|74|2018-07-12 23:10:34.230868|2018-07-12 23:10:34.230868|t
90|3.00|10.00|3|75|2018-07-12 23:10:34.231477|2018-07-12 23:10:34.231477|t
91|3.00|10.00|3|76|2018-07-12 23:10:34.232109|2018-07-12 23:10:34.232109|t
92|3.00|10.00|3|77|2018-07-12 23:10:34.232718|2018-07-12 23:10:34.232718|t
93|3.00|10.00|4|78|2018-07-12 23:10:34.23335|2018-07-12 23:10:34.23335|t
94|3.00|10.00|4|79|2018-07-12 23:10:34.233963|2018-07-12 23:10:34.233963|t
95|3.00|10.00|4|80|2018-07-12 23:10:34.234593|2018-07-12 23:10:34.234593|t
96|3.00|10.00|4|81|2018-07-12 23:10:34.2352|2018-07-12 23:10:34.2352|t
97|3.00|10.00|4|82|2018-07-12 23:10:34.235882|2018-07-12 23:10:34.235882|t
98|3.00|10.00|4|83|2018-07-12 23:10:34.236505|2018-07-12 23:10:34.236505|t
99|3.00|10.00|4|84|2018-07-12 23:10:34.237149|2018-07-12 23:10:34.237149|t
100|3.00|10.00|4|85|2018-07-12 23:10:34.237825|2018-07-12 23:10:34.237825|t
101|3.00|10.00|4|86|2018-07-12 23:10:34.238748|2018-07-12 23:10:34.238748|t
102|3.00|10.00|4|87|2018-07-12 23:10:34.239647|2018-07-12 23:10:34.239647|t
103|3.00|10.00|4|88|2018-07-12 23:10:34.240409|2018-07-12 23:10:34.240409|t
104|3.00|10.00|4|89|2018-07-12 23:10:34.241096|2018-07-12 23:10:34.241096|t
105|3.00|10.00|4|90|2018-07-12 23:10:34.241754|2018-07-12 23:10:34.241754|t
106|3.00|10.00|4|91|2018-07-12 23:10:34.242444|2018-07-12 23:10:34.242444|t
107|3.00|10.00|4|92|2018-07-12 23:10:34.243082|2018-07-12 23:10:34.243082|t
108|3.00|10.00|4|93|2018-07-12 23:10:34.250259|2018-07-12 23:10:34.250259|t
109|3.00|10.00|4|68|2018-07-12 23:10:34.251405|2018-07-12 23:10:34.251405|t
110|3.00|10.00|5|94|2018-07-12 23:10:34.252365|2018-07-12 23:10:34.252365|t
111|3.00|10.00|5|95|2018-07-12 23:10:34.253229|2018-07-12 23:10:34.253229|t
112|3.00|10.00|5|96|2018-07-12 23:10:34.254069|2018-07-12 23:10:34.254069|t
113|3.00|10.00|5|97|2018-07-12 23:10:34.254908|2018-07-12 23:10:34.254908|t
114|3.00|10.00|5|98|2018-07-12 23:10:34.255739|2018-07-12 23:10:34.255739|t
115|3.00|10.00|5|99|2018-07-12 23:10:34.25654|2018-07-12 23:10:34.25654|t
116|3.00|10.00|5|100|2018-07-12 23:10:34.257345|2018-07-12 23:10:34.257345|t
117|3.00|10.00|5|101|2018-07-12 23:10:34.258098|2018-07-12 23:10:34.258098|t
118|3.00|10.00|5|102|2018-07-12 23:10:34.258815|2018-07-12 23:10:34.258815|t
119|3.00|10.00|5|103|2018-07-12 23:10:34.259651|2018-07-12 23:10:34.259651|t
120|3.00|10.00|5|104|2018-07-12 23:10:34.260761|2018-07-12 23:10:34.260761|t
121|3.00|10.00|5|105|2018-07-12 23:10:34.262491|2018-07-12 23:10:34.262491|t
122|3.00|10.00|5|106|2018-07-12 23:10:34.26333|2018-07-12 23:10:34.26333|t
123|3.00|10.00|5|107|2018-07-12 23:10:34.26409|2018-07-12 23:10:34.26409|t
124|3.00|10.00|5|108|2018-07-12 23:10:34.26495|2018-07-12 23:10:34.26495|t
125|3.00|10.00|5|93|2018-07-12 23:10:34.265631|2018-07-12 23:10:34.265631|t
126|3.00|10.00|5|68|2018-07-12 23:10:34.266507|2018-07-12 23:10:34.266507|t
127|3.00|10.00|6|109|2018-07-12 23:10:34.267289|2018-07-12 23:10:34.267289|t
128|3.00|10.00|6|110|2018-07-12 23:10:34.268114|2018-07-12 23:10:34.268114|t
129|3.00|10.00|6|111|2018-07-12 23:10:34.268926|2018-07-12 23:10:34.268926|t
130|3.00|10.00|6|112|2018-07-12 23:10:34.269657|2018-07-12 23:10:34.269657|t
131|3.00|10.00|6|113|2018-07-12 23:10:34.270384|2018-07-12 23:10:34.270384|t
132|3.00|10.00|6|114|2018-07-12 23:10:34.27111|2018-07-12 23:10:34.27111|t
133|3.00|10.00|6|115|2018-07-12 23:10:34.271815|2018-07-12 23:10:34.271815|t
134|3.00|10.00|6|116|2018-07-12 23:10:34.272533|2018-07-12 23:10:34.272533|t
135|3.00|10.00|6|117|2018-07-12 23:10:34.273293|2018-07-12 23:10:34.273293|t
136|3.00|10.00|6|118|2018-07-12 23:10:34.274013|2018-07-12 23:10:34.274013|t
137|3.00|10.00|6|119|2018-07-12 23:10:34.274723|2018-07-12 23:10:34.274723|t
138|3.00|10.00|6|120|2018-07-12 23:10:34.275439|2018-07-12 23:10:34.275439|t
139|3.00|10.00|6|121|2018-07-12 23:10:34.282598|2018-07-12 23:10:34.282598|t
140|3.00|10.00|6|122|2018-07-12 23:10:34.283951|2018-07-12 23:10:34.283951|t
141|3.00|10.00|6|123|2018-07-12 23:10:34.284847|2018-07-12 23:10:34.284847|t
142|3.00|10.00|6|93|2018-07-12 23:10:34.28567|2018-07-12 23:10:34.28567|t
143|3.00|10.00|6|68|2018-07-12 23:10:34.286418|2018-07-12 23:10:34.286418|t
