Id|Code|Description|BackgroundColor|LastModified|Created|Status
27|UC-0027|Taller de Liderazgo y Trabajo en Equipo|#ffbf00|2018-07-12 23:10:34.006175|2018-07-12 23:10:34.006175|t
28|UC-0028|EFSRT IV|#ffff00|2018-07-12 23:10:34.006896|2018-07-12 23:10:34.006896|t
29|UC-0029|Recursos Humanos|#bfff00|2018-07-12 23:10:34.007566|2018-07-12 23:10:34.007566|t
30|UC-0030|Proyectos de Inversión|#80ff00|2018-07-12 23:10:34.008233|2018-07-12 23:10:34.008233|t
31|UC-0031|Técnicas de Ventas|#40ff00|2018-07-12 23:10:34.008898|2018-07-12 23:10:34.008898|t
32|UC-0032|Gestión Aduanera|#00ff00|2018-07-12 23:10:34.009544|2018-07-12 23:10:34.009544|t
33|UC-0033|Estadística II|#00ff40|2018-07-12 23:10:34.010217|2018-07-12 23:10:34.010217|t
34|UC-0034|Taller de Empleabilidad|#00ff80|2018-07-12 23:10:34.011544|2018-07-12 23:10:34.011544|t
35|UC-0035|EFSRT V|#00ffbf|2018-07-12 23:10:34.012311|2018-07-12 23:10:34.012311|t
36|UC-0036|Marketing de Exportaciones|#00ffff|2018-07-12 23:10:34.01305|2018-07-12 23:10:34.01305|t
37|UC-0037|Administración Estratégica|#00bfff|2018-07-12 23:10:34.013732|2018-07-12 23:10:34.013732|t
38|UC-0038|Administración Pública|#0080ff|2018-07-12 23:10:34.014408|2018-07-12 23:10:34.014408|t
39|UC-0039|Trabajo de Investigación|#0040ff|2018-07-12 23:10:34.015081|2018-07-12 23:10:34.015081|t
40|UC-0040|Taller de Emprendimiento|#0000ff|2018-07-12 23:10:34.015796|2018-07-12 23:10:34.015796|t
41|UC-0041|EFSRT VI|#4000ff|2018-07-12 23:10:34.016501|2018-07-12 23:10:34.016501|t
42|UC-0042|Legislación de Sociedades|#8000ff|2018-07-12 23:10:34.017183|2018-07-12 23:10:34.017183|t
43|UC-0043|Plan Contable|#bf00ff|2018-07-12 23:10:34.017851|2018-07-12 23:10:34.017851|t
44|UC-0044|Matemática|#ff00ff|2018-07-12 23:10:34.018503|2018-07-12 23:10:34.018503|t
45|UC-0045|Contabilidad Financiera I|#ff00bf|2018-07-12 23:10:34.019153|2018-07-12 23:10:34.019153|t
46|UC-0046|Administración General|#ff0080|2018-07-12 23:10:34.019822|2018-07-12 23:10:34.019822|t
47|UC-0047|Contabilidad Financiera II|#ff0040|2018-07-12 23:10:34.026277|2018-07-12 23:10:34.026277|t
48|UC-0048|Legislación Laboral|#ff0000|2018-07-12 23:10:34.027261|2018-07-12 23:10:34.027261|t
49|UC-0049|Técnica Contable I|#ff4000|2018-07-12 23:10:34.028977|2018-07-12 23:10:34.028977|t
50|UC-0050|Legislación Tributaria|#ff8000|2018-07-12 23:10:34.029758|2018-07-12 23:10:34.029758|t
51|UC-0051|Contabilidad de Costos|#ffbf00|2018-07-12 23:10:34.030438|2018-07-12 23:10:34.030438|t
52|UC-0052|Técnica Contable II|#ffff00|2018-07-12 23:10:34.031113|2018-07-12 23:10:34.031113|t
53|UC-0053|Contabilidad de Sociedades|#bfff00|2018-07-12 23:10:34.031809|2018-07-12 23:10:34.031809|t
54|UC-0054|Estadística General|#80ff00|2018-07-12 23:10:34.032471|2018-07-12 23:10:34.032471|t
55|UC-0055|Formulación de Estados Financieros|#40ff00|2018-07-12 23:10:34.033046|2018-07-12 23:10:34.033046|t
56|UC-0056|Normas de Información Financiera|#00ff00|2018-07-12 23:10:34.033658|2018-07-12 23:10:34.033658|t
57|UC-0057|Auditoría I|#00ff40|2018-07-12 23:10:34.034242|2018-07-12 23:10:34.034242|t
58|UC-0058|Informática Contable|#00ff80|2018-07-12 23:10:34.034828|2018-07-12 23:10:34.034828|t
59|UC-0059|Laboratorio Contable|#00ffbf|2018-07-12 23:10:34.035425|2018-07-12 23:10:34.035425|t
60|UC-0060|Auditoría II|#00ffff|2018-07-12 23:10:34.036|2018-07-12 23:10:34.036|t
61|UC-0061|Análisis e Interpretación de Estados Financieros|#00bfff|2018-07-12 23:10:34.036578|2018-07-12 23:10:34.036578|t
62|UC-0062|Economía para los Negocios|#0080ff|2018-07-12 23:10:34.037158|2018-07-12 23:10:34.037158|t
63|UC-0063|Métodos Cuantitativos para los Negocios|#0040ff|2018-07-12 23:10:34.037767|2018-07-12 23:10:34.037767|t
64|UC-0064|Contabilidad Gerencial|#0000ff|2018-07-12 23:10:34.038371|2018-07-12 23:10:34.038371|t
65|UC-0065|Dirección Estratégica I|#4000ff|2018-07-12 23:10:34.039059|2018-07-12 23:10:34.039059|t
66|UC-0066|Dirección Estratégica del Capital Humano|#8000ff|2018-07-12 23:10:34.039867|2018-07-12 23:10:34.039867|t
67|UC-0067|Sistemas y Gestión de Tecnologías de Información|#bf00ff|2018-07-12 23:10:34.040683|2018-07-12 23:10:34.040683|t
68|UC-0068|Seminario de Tesis|#ff00ff|2018-07-12 23:10:34.041456|2018-07-12 23:10:34.041456|t
69|UC-0069|Taller de Investigación I|#ff00bf|2018-07-12 23:10:34.042191|2018-07-12 23:10:34.042191|t
70|UC-0070|Globalización y Empresas|#ff0080|2018-07-12 23:10:34.042895|2018-07-12 23:10:34.042895|t
71|UC-0071|Dirección Estratégica del Marketing|#ff0040|2018-07-12 23:10:34.043553|2018-07-12 23:10:34.043553|t
72|UC-0072|Dirección Estratégica de las Finanzas|#ff0000|2018-07-12 23:10:34.044343|2018-07-12 23:10:34.044343|t
73|UC-0073|Dirección Estratégica de Operaciones|#ff4000|2018-07-12 23:10:34.045035|2018-07-12 23:10:34.045035|t
74|UC-0074|Ética de la Empresa y Responsabilidad Social|#ff8000|2018-07-12 23:10:34.045707|2018-07-12 23:10:34.045707|t
75|UC-0075|Habilidades Directivas|#ffbf00|2018-07-12 23:10:34.046366|2018-07-12 23:10:34.046366|t
76|UC-0076|Dirección Estratégica II|#ffff00|2018-07-12 23:10:34.047074|2018-07-12 23:10:34.047074|t
77|UC-0077|Taller de Investigación II|#bfff00|2018-07-12 23:10:34.047925|2018-07-12 23:10:34.047925|t
78|UC-0078|Dirección Estratégica del Sistema de Información|#80ff00|2018-07-12 23:10:34.048631|2018-07-12 23:10:34.048631|t
79|UC-0079|Business Process Management|#40ff00|2018-07-12 23:10:34.049337|2018-07-12 23:10:34.049337|t
80|UC-0080|Sistemas de Información Empresarial|#00ff00|2018-07-12 23:10:34.050015|2018-07-12 23:10:34.050015|t
81|UC-0081|Inteligencia de Negocios|#00ff40|2018-07-12 23:10:34.050702|2018-07-12 23:10:34.050702|t
82|UC-0082|Auditoría de los Sistemas de Información|#00ff80|2018-07-12 23:10:34.051403|2018-07-12 23:10:34.051403|t
83|UC-0083|Gestión de las Tecnologías de Información|#00ffbf|2018-07-12 23:10:34.05753|2018-07-12 23:10:34.05753|t
84|UC-0084|Prospección de Tecnologías Emergentes|#00ffff|2018-07-12 23:10:34.058298|2018-07-12 23:10:34.058298|t
85|UC-0085|Gestión Financiera de Proyectos de TI|#00bfff|2018-07-12 23:10:34.059064|2018-07-12 23:10:34.059064|t
86|UC-0086|Gestión de eBusiness|#0080ff|2018-07-12 23:10:34.059923|2018-07-12 23:10:34.059923|t
87|UC-0087|Seguridad Informática|#0040ff|2018-07-12 23:10:34.060988|2018-07-12 23:10:34.060988|t
88|UC-0088|Gerencia de Proyectos con Metodología PMI|#0000ff|2018-07-12 23:10:34.061827|2018-07-12 23:10:34.061827|t
89|UC-0089|Planificación de Proyectos con Metodología PMI|#4000ff|2018-07-12 23:10:34.062557|2018-07-12 23:10:34.062557|t
90|UC-0090|Ejecución de Proyecto con Metodología PMI|#8000ff|2018-07-12 23:10:34.063222|2018-07-12 23:10:34.063222|t
91|UC-0091|Control del Proyecto con Metodología PMI|#bf00ff|2018-07-12 23:10:34.063938|2018-07-12 23:10:34.063938|t
92|UC-0092|Cierre del Proyecto con Metodología PMI|#ff00ff|2018-07-12 23:10:34.064588|2018-07-12 23:10:34.064588|t
93|UC-0093|Seminario Internacional|#ff00bf|2018-07-12 23:10:34.065304|2018-07-12 23:10:34.065304|t
94|UC-0094|Derecho Constitucional Empresarial|#ff0080|2018-07-12 23:10:34.066026|2018-07-12 23:10:34.066026|t
95|UC-0095|Derecho de Sociedades|#ff0040|2018-07-12 23:10:34.06665|2018-07-12 23:10:34.06665|t
96|UC-0096|Contratos Modernos|#ff0000|2018-07-12 23:10:34.06735|2018-07-12 23:10:34.06735|t
97|UC-0097|Derecho Laboral|#ff4000|2018-07-12 23:10:34.068242|2018-07-12 23:10:34.068242|t
98|UC-0098|Solución de Conflictos Empresariales|#ff8000|2018-07-12 23:10:34.068938|2018-07-12 23:10:34.068938|t
99|UC-0099|Derecho de la Libre Competencia|#ffbf00|2018-07-12 23:10:34.069689|2018-07-12 23:10:34.069689|t
100|UC-0100|Derecho del Consumidor|#ffff00|2018-07-12 23:10:34.070408|2018-07-12 23:10:34.070408|t
101|UC-0101|Propiedad Intelectual|#bfff00|2018-07-12 23:10:34.071079|2018-07-12 23:10:34.071079|t
102|UC-0102|Conciliación y Arbitraje|#80ff00|2018-07-12 23:10:34.071747|2018-07-12 23:10:34.071747|t
103|UC-0103|Derecho Penal Empresarial|#40ff00|2018-07-12 23:10:34.072399|2018-07-12 23:10:34.072399|t
104|UC-0104|Código Tributario|#00ff00|2018-07-12 23:10:34.073057|2018-07-12 23:10:34.073057|t
105|UC-0105|Impuesto a la Renta|#00ff40|2018-07-12 23:10:34.073808|2018-07-12 23:10:34.073808|t
106|UC-0106|Impuesto a las Ventas y el ISC|#00ff80|2018-07-12 23:10:34.074416|2018-07-12 23:10:34.074416|t
107|UC-0107|Impuestos Aduaneros|#00ffbf|2018-07-12 23:10:34.075134|2018-07-12 23:10:34.075134|t
108|UC-0108|Tributación Municipal|#00ffff|2018-07-12 23:10:34.075839|2018-07-12 23:10:34.075839|t
109|UC-0109|Economía y Entorno de los Proyectos Mineros|#00bfff|2018-07-12 23:10:34.076524|2018-07-12 23:10:34.076524|t
110|UC-0110|Legislación Aplicable a los Proyectos Mineros|#0080ff|2018-07-12 23:10:34.0775|2018-07-12 23:10:34.0775|t
111|UC-0111|Planeamiento de Proyectos de Inversión Minera|#0040ff|2018-07-12 23:10:34.078837|2018-07-12 23:10:34.078837|t
112|UC-0112|Evaluación de Proyectos de Inversión Minera|#0000ff|2018-07-12 23:10:34.079601|2018-07-12 23:10:34.079601|t
113|UC-0113|Análisis del Riesgo de Proyectos Mineros|#4000ff|2018-07-12 23:10:34.080284|2018-07-12 23:10:34.080284|t
114|UC-0114|Gestión de Operaciones Mineras|#8000ff|2018-07-12 23:10:34.080964|2018-07-12 23:10:34.080964|t
115|UC-0115|Gestión de Personas en Operaciones Mineras|#bf00ff|2018-07-12 23:10:34.081667|2018-07-12 23:10:34.081667|t
116|UC-0116|Gestión Logística en Operaciones Mineras|#ff00ff|2018-07-12 23:10:34.082477|2018-07-12 23:10:34.082477|t
117|UC-0117|Dirección Estratégica de Empresas Mineras|#ff00bf|2018-07-12 23:10:34.083213|2018-07-12 23:10:34.083213|t
118|UC-0118|Gestión de Seguridad y Salud Ocupacional|#ff0080|2018-07-12 23:10:34.089766|2018-07-12 23:10:34.089766|t
119|UC-0119|Metodología de Evaluación del Impacto Ambiental|#ff0040|2018-07-12 23:10:34.090525|2018-07-12 23:10:34.090525|t
120|UC-0120|Aseguramiento Ambiental ISO 14000|#ff0000|2018-07-12 23:10:34.091279|2018-07-12 23:10:34.091279|t
121|UC-0121|Negociación y Manejo de Conflictos|#ff4000|2018-07-12 23:10:34.092086|2018-07-12 23:10:34.092086|t
122|UC-0122|Modelos y Herramientas para las Relaciones Comunitarias|#ff8000|2018-07-12 23:10:34.092846|2018-07-12 23:10:34.092846|t
123|UC-0123|Aseguramiento de la RSE ISO 26000|#ffbf00|2018-07-12 23:10:34.093556|2018-07-12 23:10:34.093556|t
